Name,  Meaning,Gender
Aabheer,  A cowherd,M
Aachalendra,  Himalayas,M
Aachman, Intake of a sip of water before a yagya or puja,M
Aadarsh, Ideal,M
Aadava, Sun,M
Aaddhar,Foundation,M
Aadesh,Command; Message,M
Aadhan,Be First,M
Aadhev,  First,M
Aadhira,  Moon,M
Aadi,  First; Most important,M
Aadidev,  The first God,M
Aadil,  Justice,M
Aadish,  Full of wisdom; Intelligent,M
Aadit,  Peak,M
Aaditya,  Sun,M
Aadityesh,  Power of sun,M
Aadurusta,  Lucky,M
Aafreen,  Encouragement,M
Aagam,  Coming; Arrival,M
Aagman,  Arrival,M
Aahan,  Iron; Sword,M
Aahlaad,  Delight,M
Aahva,  Beloved,M
Aakaar,  Shape,M
Aakar,  Shape,M
Aakarsh,  Attraction,M
Aakarshan,  Attraction,M
Aakash,  The sky,M
Aakesh,  Sky,M
Aakrit,  Shape,M
Aalam, The whole world,M
Aalap,  Musical,M
Aalok,Light,M
Aamod,  Pleasant,M
Aanand,  Joy,M
Aandaleeb,  The Bulbul bird,M
Aanjaneya,  Son of anjani,M
Aaradhaya,Regard,M
Aarav,Peaceful,M
Aarit,One who seeks the right direction,M
Aarman,Desire,M
Aarnav,Ocean; Sea,M
Aarogya,Health,M
Aaron,High Mountain,M
Aarpit,  To donate,M
Aarth,  Meaning,M
Aarush,  First ray of sun,M
Aarya,  Line on any particular raaga from sanskrit,M
Aaryan,  Illustrious,M
Aashank, Faith,M
Aashik, Sharp,M
Aashish, Blessings,M
Aashka,Take aashka of aarti,M
Aashman, Son of the sun,M
Aasit,  Black Stone,M
Aatish,  Fireworks; Name of Lord Ganesha,M
Aayan,  Speed; Bright,M
Aayush,  Long life,M
Aayushman, Long life,M
Abadhya, Always victorious; Unopposed,M
Abeesht,  Wanted; Desired,M
Abhar,  Brilliant; Magnificent; Shining,M
Abhash,  Realisation,M
Abhav,  Lord Shiva,M
Abhay,  Fearless,M
Abhaya, Fearless,M
Abheek,  Fearless,M
Abhi,  Fearless,M
Abhibhava,  Overpowering; Powerful; Victorious,M
Abhidi, Radiant,M
Abhigam,  Perception,M
Abhihita, Expression; Word; Name,M
Abhijat,  Noble; Wise,M
Abhijay,Victor,M
Abhijaya,  Conquest; Complete victory,M
Abhijeet,  Victorious,M
Abhijit,  One who is victorious Abhijeet,M
Abhijun,  Expert; Skilled,M
Abhijvala,  Blazing forth,M
Abhik,  Beloved,M
Abhilash,  Desire,M
Abhiman, Pride,M
Abhimand, Gladdening,M
Abhimani,  Full of pride; Another name for Agni as the eldest son of Brahma,M
Abhimanyu,  Arjuna's son,M
Abhimoda,  Joy; Delight,M
Abhin,  Different,M
Abhinanda,  To rejoice; To celebrate; To praise; To bless; Delight,M
